Date,Open
27-Jan-12,-0.568759461
28-Jan-12,-0.635970097
29-Jan-12,-0.06321797
30-Jan-12,1.195098982
31-Jan-12,1.798453875
1-Feb-12,0.490176604
2-Feb-12,0.064516148
3-Feb-12,-0.042124262
4-Feb-12,0.806128944
5-Feb-12,-0.343503121
6-Feb-12,-0.414338267
7-Feb-12,-0.114311617
8-Feb-12,-1.158417345
9-Feb-12,-1.596027388
10-Feb-12,1.193685753
11-Feb-12,-1.816678829
12-Feb-12,-0.571766889
13-Feb-12,-1.887325199
14-Feb-12,0.828290178
15-Feb-12,-0.871880583
16-Feb-12,-1.596027388
17-Feb-12,-1.732510419
18-Feb-12,-0.106722494
19-Feb-12,0.595399542
20-Feb-12,0.08879444
21-Feb-12,-0.957135421
22-Feb-12,-0.157835835
23-Feb-12,2.227084475
24-Feb-12,-0.178105962
25-Feb-12,0.636768457
26-Feb-12,0.107477342
27-Feb-12,-0.376327108
28-Feb-12,0.773366541
29-Feb-12,0.241634461
1-Mar-12,0.645706386
2-Mar-12,0.112508736
3-Mar-12,-0.177587112
4-Mar-12,0.065828831
5-Mar-12,-0.135763148
6-Mar-12,1.42898908
7-Mar-12,0.738152183
8-Mar-12,-0.634660078
9-Mar-12,-0.052423537
10-Mar-12,-1.374184763
11-Mar-12,-0.906087081
12-Mar-12,-0.381319325
13-Mar-12,0.066568736
14-Mar-12,-0.472767908
15-Mar-12,-1.380216676
16-Mar-12,-1.406943599
17-Mar-12,-1.107487091
18-Mar-12,-1.016684848
19-Mar-12,0.458983817
20-Mar-12,0.735799706
21-Mar-12,0.541774505
22-Mar-12,-2.393088286
23-Mar-12,-3.373257768
24-Mar-12,-0.695661333
25-Mar-12,0.610499851
26-Mar-12,-0.200075954
27-Mar-12,0.75634776
28-Mar-12,-0.492225854
29-Mar-12,-1.364323639
30-Mar-12,0.724184129
31-Mar-12,0.724184129
1-Apr-12,-0.422108393
2-Apr-12,0.967618774
3-Apr-12,0.888913352
4-Apr-12,1.261652187
5-Apr-12,-2.218731215
6-Apr-12,-0.973323562
7-Apr-12,-0.702769486
8-Apr-12,0.421359096
9-Apr-12,0.614173417
10-Apr-12,-0.434303254
11-Apr-12,-0.630836458
12-Apr-12,2.053880188
13-Apr-12,0.653741274
14-Apr-12,-0.024760386
15-Apr-12,0.09121935
16-Apr-12,0.451704855
